Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist
J0337+1715,1636148068921376768,Gaia DR3 44308738051547264,44308738051547264,1477990183,2016.0,54.43261340914772,0.1363241970539093,17.254115461920154,0.1413089781999588,0.5416920661382117,0.195136159658432,2.7759697437286377,7.045334815979004,5.480495136987953,0.18847954273223877,-4.427292334782167,0.16294538974761963,0.3506767451763153,-0.00954712275415659,-0.14994513988494873,-0.06988220661878586,-0.5808644890785217,-0.19717766344547272,0.02697904221713543,0.31153520941734314,0.08777599036693573,0.5632566809654236,211,0,210,1,2.6258978843688965,274.2827453613281,0.2861328423023224,0.6875439286231995,31,False,1.7535103559494019,,,,,,,,25,14,0.309800922870636,31,9,0,0.03130738064646721,127.1440200805664,0,0,1.1307532787322998,0.37392812967300415,0.3998861610889435,0.5964904427528381,0.5998052358627319,-80.93195343017578,-29.957763671875,-40.82476043701172,35.364501953125,False,234,1132.470302048346,1.8219982385635376,621.5540161132812,18.05229949951172,27,798.9933394127712,11.127458572387695,71.80375671386719,18.082183837890625,26,464.039482139571,10.523032188415527,44.09750747680664,18.08150863647461,1.1152900457382202,0,2,0,0,0,0.000675201416015625,0.02988433837890625,-0.029209136962890625,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,169.98968977586804,-30.039484153884825,56.229872974243634,-2.1129289474454396,False,False,0,False,False,False,False,False,True,True,False,1.0391625846492905e-13,3.64107181904938e-12,0.9999266266822815,9714.267578125,9667.3134765625,9762.3671875,4.63640022277832,4.633699893951416,4.638500213623047,-2.1410999298095703,-2.1749000549316406,-2.0817999839782715,10929.419921875,10855.6416015625,10999.3388671875,0.003100000089034438,0.0007999999797903001,0.007499999832361937,0.002899999963119626,0.0007999999797903001,0.007199999876320362,0.0015999999595806003,0.00039999998989515007,0.003800000064074993,PHOENIX,9.632725502922381e-05
J0348+0432,1636148068921376768,Gaia DR3 3273288485744249344,3273288485744249344,1318756106,2016.0,57.18183331779655,0.6954769492149353,4.5365161957787254,0.6465485095977783,-0.03510799409612238,0.7840948700904846,-0.044775184243917465,3.4456067085266113,3.4381852148165697,1.345002293586731,-0.22602818895594637,0.8866667151451111,0.2525109350681305,0.11260667443275452,-0.07684917747974396,0.1641453057527542,0.19435963034629822,0.09360391646623611,0.48666253685951233,-0.07123620063066483,0.13496115803718567,0.027679195627570152,205,0,203,2,-1.9343717098236084,187.0857696533203,0.0,0.0,95,False,,1.1114119291305542,0.20533792674541473,-0.022908145561814308,0.22270146012306213,-0.0888436883687973,0.2703663110733032,-0.002567977411672473,24,13,1.861738681793213,33,4,3,0.011845358647406101,81.39511108398438,0,0,0.9025124907493591,0.4685802459716797,0.44047409296035767,0.2402983158826828,0.559264600276947,3.5112226009368896,-1.155388355255127,8.028575897216797,23.376636505126953,False,263,109.49095145011314,0.67141193151474,163.07566833496094,20.58892059326172,23,79.83427131358387,9.985940933227539,7.994667053222656,20.58306884765625,25,53.07493551890577,6.981034755706787,7.602731704711914,20.435672760009766,1.2138830423355103,0,0,0,0,0,0.14739608764648438,-0.00585174560546875,0.15324783325195312,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,183.33683961310373,-36.77362431748332,55.97015845427447,-15.11010308883243,False,False,0,False,False,False,False,False,False,False,False,0.00731457956135273,5.77237259727359e-13,0.9926849603652954,,,,,,,,,,,,,,,,,,,,,,,0.0001559301469119167
J0437-4715,1636148068921376768,Gaia DR3 4789864076732331648,4789864076732331648,1537933648,2016.0,69.31662758499185,0.4591127336025238,-47.25268764316094,0.5165178179740906,7.100758956026111,0.5245259404182434,13.537479400634766,140.697265625,121.64554022827309,0.5740318894386292,-70.69711407936788,0.6498133540153503,-0.007737054489552975,0.34502464532852173,0.009485757909715176,0.09048165380954742,0.18195024132728577,0.23813901841640472,-0.5116730332374573,0.2813703417778015,-0.14777643978595734,-0.22096139192581177,262,0,262,0,-0.8101223111152649,252.6839141845703,0.0,0.0,95,False,,1.5331504344940186,0.14090222120285034,-0.03624889627099037,-0.09184882789850235,-0.19217343628406525,-0.12727512419223785,0.2065877914428711,30,23,0.9991880655288696,33,12,0,0.016796836629509926,168.20538330078125,0,0,0.9631256461143494,0.07787394523620605,0.09261617064476013,0.10425210744142532,0.10953398793935776,-105.25613403320312,66.05753326416016,-41.10883331298828,38.97484588623047,False,264,136.29393913399107,0.7914796471595764,172.20144653320312,20.35117530822754,21,69.58137782845998,11.601846694946289,5.997439861297607,20.732309341430664,31,117.69224394549772,9.431108474731445,12.47915267944336,19.571025848388672,1.3740421533584595,0,0,0,1,0,1.1612834930419922,0.381134033203125,0.7801494598388672,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,253.3946414019159,-41.9631192552857,50.46877109619281,-67.87317176227522,False,False,0,False,False,False,False,False,False,False,False,6.653837480996572e-10,4.6013196031147174e-10,0.999998152256012,,,,,,,,,,,,,,,,,,,,,,,0.0003568920019926047
J1012+5307,1636148068921376768,Gaia DR3 851610861391010944,851610861391010944,436377649,2016.0,153.13933086796624,0.2042589783668518,53.11725939018486,0.20397721230983734,1.7447569177332496,0.29057663679122925,6.004464149475098,26.065160751342773,2.7364450992406075,0.29184460639953613,-25.921120753058773,0.27057087421417236,-0.049517836421728134,-0.13588577508926392,0.1746152639389038,0.06747949868440628,-0.012130825780332088,-0.008181052282452583,-0.3486316502094269,0.09561876952648163,-0.0953320860862732,0.06549026817083359,479,0,478,1,-1.4596635103225708,452.003173828125,0.0,0.0,31,False,1.6641284227371216,,,,,,,,55,25,0.4113481640815735,58,23,0,0.02258996292948723,32.78091812133789,0,0,0.9522262215614319,0.3550454378128052,0.04376835376024246,0.13261394202709198,0.19373270869255066,-80.58699035644531,68.43441009521484,23.272720336914062,-2.9087905883789062,False,469,275.61590949402813,0.7949761748313904,346.69708251953125,19.586606979370117,50,177.9215119465261,7.2727952003479,24.463979721069336,19.712970733642578,46,131.7878941383381,7.614266872406006,17.308021545410156,19.448205947875977,1.1236993074417114,0,3,0,0,0,0.26476478576660156,0.12636375427246094,0.13840103149414062,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,160.3472039641611,50.85785720019549,133.3611355636977,38.7552835930104,False,False,0,False,False,False,False,False,False,False,False,0.0010191148612648249,1.090466383857347e-07,0.9989075660705566,,,,,,,,,,,,,,,,,,,,,,,9.801518139696012e-05
J1023+0038,1636148068921376768,Gaia DR3 3831382647922429952,3831382647922429952,1711732018,2016.0,155.94870458335123,0.057949818670749664,0.6446470547528212,0.05493738129734993,0.6861708101572905,0.07056035846471786,9.724594116210938,17.88532829284668,4.609895324338583,0.07148280739784241,-17.281024260717615,0.07716389000415802,-0.3490200340747833,-0.5460290312767029,-0.24097973108291626,0.04150944948196411,0.04502314329147339,-0.13731524348258972,0.05442579463124275,0.30568787455558777,-0.2894645631313324,-0.4659886956214905,152,0,152,0,0.16780494153499603,155.44107055664062,0.0,0.0,31,False,1.5914226770401,,,,,,,,18,13,0.12669198215007782,20,7,0,0.2965811491012573,15.742154121398926,2,0,1.0075284242630005,0.4001152515411377,0.3725161850452423,0.3634943664073944,0.8839783072471619,-137.1935272216797,52.61243438720703,2.085782527923584,-25.97886085510254,False,170,6055.14264022624,110.94617462158203,54.577301025390625,16.2320556640625,18,3276.162502226279,193.06996154785156,16.96878433227539,16.550128936767578,18,3786.004561484927,199.63096618652344,18.965017318725586,15.80244255065918,1.1663089990615845,0,2,0,1,0,0.7476863861083984,0.3180732727050781,0.4296131134033203,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,243.4895915647394,45.78224492606224,157.4921121226626,-8.730257523325635,False,False,0,False,False,False,True,False,True,True,False,1.3214784644333122e-07,7.1538481805077936e-09,0.9999877214431763,5965.638671875,5961.6083984375,5977.732421875,4.654200077056885,4.638599872589111,4.668799877166748,-4.119100093841553,-4.141499996185303,-4.080900192260742,1417.91259765625,1400.0479736328125,1436.7054443359375,0.007400000002235174,0.0020000000949949026,0.016200000420212746,0.006300000008195639,0.0017000000225380063,0.013799999840557575,0.0035000001080334187,0.0008999999845400453,0.007699999958276749,MARCS,0.0003566445233499711
J1024-0719,1636148068921376768,Gaia DR3 3775277872387310208,3775277872387310208,651923252,2016.0,156.16108773644027,0.2543827295303345,-7.3221719866620765,0.25634726881980896,0.8571901175108635,0.27823102474212646,3.080857515335083,59.959556579589844,-35.45776894087536,0.3183121383190155,-48.351781965474586,0.35726091265678406,-0.18232575058937073,-0.3820451498031616,-0.19469691812992096,0.15404163300991058,0.1621813327074051,0.2599148452281952,-0.37422290444374084,0.24886010587215424,-0.1990775763988495,-0.4123247265815735,174,0,173,1,0.4013269245624542,181.98326110839844,0.0,0.0,95,False,,1.401442289352417,0.08117326349020004,-0.2847181558609009,-0.31454119086265564,-0.06777250021696091,-0.13030637800693512,0.2662585377693176,20,13,0.5747706890106201,22,7,0,0.05472029000520706,18.500625610351562,0,0,1.020029902458191,0.39423149824142456,0.3010671138763428,0.2944512367248535,0.8854348659515381,-128.90524291992188,54.80687713623047,-1.3361233472824097,-26.114383697509766,False,190,412.7650129370971,1.2006545066833496,343.7833557128906,19.148109436035156,19,127.40050955411057,9.145851135253906,13.929868698120117,20.07561492919922,18,393.7624388522748,13.108919143676758,30.037750244140625,18.259809494018555,1.262614130973816,0,0,0,0,0,1.815805435180664,0.9275054931640625,0.8882999420166016,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,251.70160560664087,40.51537886425708,160.73436553025053,-16.044789090630633,False,False,0,False,False,False,False,False,False,False,False,8.704324760966387e-11,2.0016327484384533e-10,0.9999929070472717,,,,,,,,,,,,,,,,,,,,,,,0.000293342408115598
J1048+2339,1636148068921376768,Gaia DR3 3990037124929068032,3990037124929068032,414572699,2016.0,162.18089987798868,0.30703383684158325,23.664831000638443,0.3802618384361267,0.48692630852515645,0.43695390224456787,1.1143654584884644,19.324966430664062,-15.445225592727764,0.35285255312919617,-11.614618303913119,0.3405464291572571,-0.3956109583377838,0.010694029740989208,-0.4021501839160919,0.10675641149282455,-0.46870705485343933,-0.08201204240322113,-0.47252151370048523,0.3584378957748413,0.0533948615193367,-0.44722750782966614,313,0,313,0,0.09811525046825409,321.6835021972656,0.0,0.0,95,False,,1.4402494430541992,0.07185056805610657,-0.16783680021762848,0.07717704027891159,-0.2076319009065628,0.16862694919109344,0.052141763269901276,36,16,0.6005760431289673,36,22,0,0.018725058063864708,171.66705322265625,0,0,1.0028752088546753,0.3060176968574524,0.5081191658973694,0.11204888671636581,0.6746701598167419,14.418787002563477,45.66070556640625,31.30274200439453,-30.415937423706055,False,308,273.91942324003185,3.1970252990722656,85.6794662475586,19.59330940246582,30,113.33380354363993,12.944639205932617,8.755269050598145,20.20264434814453,29,264.6278502935405,11.292167663574219,23.43463706970215,18.691307067871094,1.379827857017517,0,0,0,1,0,1.5113372802734375,0.6093349456787109,0.9020023345947266,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,213.1721882801057,62.13949031046664,154.45158566260463,14.87881117314285,False,False,0,False,False,False,False,False,False,False,False,2.000261474677245e-06,7.073057349771261e-05,0.9998874068260193,,,,,,,,,,,,,,,,,,,,,,,6.623117882132373e-05
J1227-4853,1636148068921376768,Gaia DR3 6128369984328414336,6128369984328414336,310474162,2016.0,186.99465510704707,0.09719011932611465,-48.895196620911825,0.06074601039290428,0.4635009727807662,0.12760405242443085,3.6323375701904297,20.140865325927734,-18.77239526564296,0.10574066638946533,7.297369719202052,0.08832047134637833,0.2805878221988678,-0.448100745677948,-0.391530841588974,-0.13176527619361877,-0.09029287099838257,-0.0833241418004036,-0.38266274333000183,0.33560270071029663,0.2615736126899719,0.36005905270576477,537,0,535,2,-0.719856321811676,527.823974609375,0.0,0.0,31,False,1.5085206031799316,,,,,,,,62,22,0.1708947718143463,69,21,0,0.055020157247781754,6.2374267578125,0,0,0.9773472547531128,0.3145272433757782,0.4092962145805359,0.1714438498020172,0.2528270184993744,-56.68458938598633,-22.038833618164062,-16.765092849731445,-16.785579681396484,False,561,1113.4860241159927,11.05556583404541,100.71723175048828,18.070655822753906,64,565.944365595063,20.31827163696289,27.853961944580078,18.456607818603516,63,809.5369845721402,18.44719886779785,43.88400650024414,17.477304458618164,1.235292911529541,0,2,0,2,0,0.9793033599853516,0.3859519958496094,0.5933513641357422,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,298.96538480494416,13.795794613673147,209.76470764702148,-41.26053178639365,False,False,0,False,False,False,False,False,True,True,False,3.260251790759838e-11,2.153322485598519e-11,0.9999720454216003,5038.67724609375,5018.95166015625,5073.13037109375,4.658100128173828,4.535699844360352,4.700500011444092,-1.1013000011444092,-1.2575000524520874,-0.9438999891281128,2093.889892578125,1956.537353515625,2582.92626953125,0.013399999588727951,0.003700000001117587,0.035100001841783524,0.01080000028014183,0.002899999963119626,0.02850000001490116,0.005799999926239252,0.0015999999595806003,0.01549999974668026,MARCS,4.5203859980973505e-05
J1302-6350,1636148068921376768,Gaia DR3 5862299960127967488,5862299960127967488,736952411,2016.0,195.69848851536304,0.008934320881962776,-63.83573123376698,0.009974833577871323,0.44344477764993895,0.013309076428413391,33.318973541259766,7.1010589599609375,-7.092820662863646,0.011759594082832336,-0.34195092640087815,0.014234627597033978,0.201033353805542,0.074760302901268,-0.19087080657482147,0.02429034374654293,-0.02728530392050743,0.041744060814380646,0.01728779636323452,0.1008354052901268,0.10089338570833206,0.3578885495662689,452,452,448,4,-0.5381287336349487,788.7785034179688,0.06651925295591354,4.899081707000732,31,False,1.4798933267593384,,,,,,,,51,28,0.021384553983807564,55,20,1,0.016929009929299355,131.176513671875,0,0,0.9812279939651489,,,,,,,,,True,464,2641267.602964577,901.3660888671875,2930.2939453125,9.632835388183594,50,1185345.1198155188,634.4366455078125,1868.3427734375,10.153929710388184,48,2157537.182542408,773.7271118164062,2788.498779296875,8.913000106811523,1.26563560962677,0,0,0,0,0,1.2409296035766602,0.5210943222045898,0.7198352813720703,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,304.18354481654586,-0.9915822428813386,227.69783348742587,-50.896923404737834,False,False,0,True,True,False,False,False,True,True,False,1.2081006195430177e-09,1.2245433556046237e-09,0.9999872446060181,35609.75390625,35604.203125,35613.3515625,3.8433001041412354,3.840399980545044,3.845900058746338,0.0,-0.0003000000142492354,0.00039999998989515007,1956.0606689453125,1944.7772216796875,1970.18505859375,3.457900047302246,3.4572999477386475,3.4586000442504883,3.1263999938964844,3.1259000301361084,3.127000093460083,1.7288000583648682,1.7285000085830688,1.729099988937378,OB,6.165556374302685e-05
J1302-6350,1636148068921376768,Gaia DR3 5862299960092725632,5862299960092725632,321796337,2016.0,195.69988310911546,0.11239784210920334,-63.83610539869299,0.09506987035274506,0.18254430990569123,0.12161039561033249,1.5010583400726318,8.430313110351562,-8.291240224690457,0.18000219762325287,-1.524963552864992,0.19132626056671143,0.1574316769838333,0.1238652840256691,0.526594340801239,0.3528888523578644,0.01261522900313139,0.28000396490097046,0.29128801822662354,0.05095720663666725,0.23551994562149048,0.1966361105442047,211,0,211,0,8.113921165466309,548.3533935546875,0.6383711695671082,9.974803924560547,95,False,,1.3083608150482178,0.024677779525518417,0.08240901678800583,-0.10345333069562912,0.040503550320863724,0.127293661236763,0.3303329646587372,25,15,0.2919701337814331,28,24,0,0.017513880506157875,135.99713134765625,2,0,1.4245644807815552,0.1259588599205017,0.06996839493513107,0.25893446803092957,0.44409435987472534,-99.4059066772461,23.503408432006836,-7.453577995300293,-23.343408584594727,False,226,3819.2247653440045,7.735280990600586,493.7409362792969,16.73242950439453,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,304.18414274460537,-0.9919831615027401,227.6989683773162,-50.89684735585595,False,False,0,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007765777306466441
